Affymetrix ID	Gene Symbol	Gene or mRNA Description	Accession	Direction	Sham Adj. P value	ADX Adj. P value
10591781	Anln	anillin, actin binding protein	NM_028390	up	0.008	ns
10416541	Enox1	ecto-NOX disulfide-thiol exchanger 1	NM_172813	up	0.008	ns
10444431	Prrt1	proline-rich transmembrane protein 1	NM_030890	up	0.008	0.004
10603387	Hdac6	histone deacetylase 6	NM_010413	down	0.008	ns
10378568	---	MI0000570 Mus musculus miR-22 stem-loop	---	down	0.008	ns
10408557	Serpinb1a	serine (or cysteine) peptidase inhibitor, clade B, member 1a	NM_025429	down	0.008	ns
10548105	Ccnd2	cyclin D2	NM_009829	up	0.008	ns
10362201	Ctgf	connective tissue growth factor	NM_010217	up	0.008	ns
10374430	Wdr92	WD repeat domain 92	NM_178909	up	0.008	ns
10449163	Pigq	phosphatidylinositol glycan anchor biosynthesis, class Q	NM_011822	down	0.008	ns
10434934	Bdh1	3-hydroxybutyrate dehydrogenase, type 1	NM_175177	down	0.008	ns
10596900	Tcta	T-cell leukemia translocation altered gene	NM_133986	down	0.008	ns
10480971	Snapc4	small nuclear RNA activating complex, polypeptide 4	NM_172339	down	0.008	ns
10495416	Vav3	vav 3 oncogene	NM_020505	up	0.008	ns
10602925	Phka2	phosphorylase kinase alpha 2	NM_172783	down	0.008	ns
10419261	Bmp4	bone morphogenetic protein 4	NM_007554	up	0.008	ns
10461191	Nxf1	nuclear RNA export factor 1 homolog (S. cerevisiae)	NM_016813	up	0.008	ns
10503995	Dnaja1	DnaJ (Hsp40) homolog, subfamily A, member 1	NM_008298	up	0.008	ns
10603206	BC022960	cDNA sequence BC022960	ENSMUST0000052299	down	0.008	ns
10471154	Ass1	argininosuccinate synthetase 1	NM_007494	down	0.008	ns
10406434	Mef2c	myocyte enhancer factor 2C	NM_025282	down	0.008	0.04
10591537	Tmed1	transmembrane emp24 domain containing 1	NM_010744	down	0.008	ns
10544720	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	NM_016806	up	0.008	ns
10481378	---	MI0000741 Mus musculus miR-219-2 stem-loop	---	down	0.009	ns
10356628	Hdac4	histone deacetylase 4	NM_207225	up	0.009	ns
10580247	Mast1	microtubule associated serine/threonine kinase 1	NM_019945	down	0.009	ns
10461057	Rcor2	REST corepressor 2	NM_054048	down	0.009	ns
10560911	Rabac1	Rab acceptor 1 (prenylated)	NM_010261	down	0.009	ns
10539933	Txnrd3	thioredoxin reductase 3	NM_153162	down	0.009	ns
10560043	Zfp329	zinc finger protein 329	NM_026046	up	0.009	ns
10454564	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	NM_133658	down	0.009	ns
10597883	Ano10	anoctamin 10	NM_133979	down	0.009	0.05
10557058	Polr3e	polymerase (RNA) III (DNA directed) polypeptide E	ENSMUST00000098072	up	0.009	ns
10462752	Btaf1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae)	NM_001080706	up	0.009	ns
10509014	D4Wsu53e	DNA segment, Chr 4, Wayne State University 53, expressed	BC043057	down	0.009	ns
10554521	Pde8a	phosphodiesterase 8A	NM_008803	down	0.009	ns
10398578	4930573119Rik	RIKEN CDNA 4930573119 gene	NM_001081057	down	0.009	ns
10497754	Dnajc19	DnaJ (Hsp40) homolog, subfamily C, member 19	NM_026332	down	0.009	ns
10488575	Psmf1	proteasome (prosome, macropain) inhibitor subunit 1	NM_212446	down	0.009	ns
10429957	Fbxl6	F-box and leucine-rich repeat protein 6	NM_013909	down	0.009	ns
10590865	Cntn5	contactin 5	ENSMUST00000074133	down	0.009	0.04
10419049	Nrg3	neuregulin 3	NM_008734	down	0.009	0.05
10366476	Ptprb	protein tyrosine phosphatase, receptor type, B	NM_029928	down	0.009	ns
10577441	Defb9	defensin beta 9	NM_139219	up	0.009	ns
10399465	Fam84a	family with sequence similarity 84, member A	NM_029007	up	0.009	ns
10526191	Gats	opposite strand transcription unit to Stag3	BC026208	up	0.009	ns
10512704	Exosc3	exosome component 3	NM_025513	up	0.009	ns
10508019	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)	NM_145552	down	0.01	ns
10476633	Pcsk2	proprotein convertase subtilisin/kexin type 2	NM_008792	down	0.01	0.04
10540659	Ttll3	tubulin tyrosine ligase-like family, member 3	NM_133923	up	0.01	0.02
10467468	ENSMUSG00000074878	predicted gene, ENSMUSG00000074878	AK132080	up	0.01	ns
10351749	Wdr42a	WD repeat domain 42A	NM_153555	down	0.01	ns
10363541	Ass1	argininosuccinate synthetase 1	NM_007494	down	0.01	ns
10419825	Acin1	apoptotic chromatin condensation inducer 1	NM_023190	up	0.01	ns
10346882	Adam23	a disintegrin and metallopeptidase domain 23	NM_011780	down	0.01	0.05
10567229	2610207105Rik	RIKEN CDNA 2610207105 gene	NM_001031814	up	0.01	ns
10398618	Traf3	Tnf receptor-associated factor 3	NM_011632	up	0.01	ns
10458285	5133400G04Rik	RIKEN CDNA 5133400G04 gene	NM_029485	down	0.01	ns
10582008	2310061C15Rik	RIKEN cDNA 2310061C15 gene	NM_026844	up	0.01	ns
10606969	Rbm41	RNA binding motif protein 41	NM_153586	up	0.01	ns
10469954	C730025P13Rik	RIKEN cDNA C730025P13 gene	NM_177344	down	0.01	ns
10576403	AK122209	cDNA sequence AK122209	NM_001029876	up	0.01	ns
10445565	Mrpl2	mitochondrial ribosomal protein L2	NM_025302	down	0.01	ns
10368997	C130030K03Rik	RIKEN cDNA C130030K03 gene	AK048022	down	0.01	ns
10421697	9030625A04Rik	RIKEN cDNA 9030625A04 gene	BC116748	down	0.01	ns
10571371	Tusc3	tumor suppressor candidate 3	NM_030254	down	0.01	ns
10421188	R3hcc1	R3H domain and coiled-coil containing 1	ENSMUST00000050569	down	0.01	ns
10521759	Slit2	slit homolog 2 (Drosophila)	NM_178804	down	0.01	ns
10407766	Lgals8	lectin, galactose binding, soluble 8	NM_018886	down	0.01	ns
10568001	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	NM_133670	up	0.01	ns
10467425	Sorbs1	sorbin and SH3 domain containing 1	NM_178362	up	0.01	ns
10489253	Zhx3	zinc fingers and homeoboxes 3	NM_177263	up	0.01	ns
10486029	Atpbd4	ATP binding domain 4	NM_025675	down	0.01	ns
10456988	Pard6g	par-6 partitioning defective 6 homolog gamma (C. elegans)	NM_053117	down	0.01	ns
10360187	Vangl2	vang-like 2 (van gogh, Drosophila)	NM_033509	down	0.01	ns
10447036	---	rRNA chromosome:NCBIM37:17:79258276: 79258390:1 gene:ENSMUSG00000064770	ENSMUST0000082836	down	0.01	ns
10434643	Psmb3	proteasome (prosome, macropain) subunit, beta type 3	NM_011971	down	0.01	ns
10588505	Abhd14b	abhydrolase domain containing 14b	NM_029631	down	0.01	ns
10404538	Prpf4b	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	NM_013830	up	0.01	ns
10441718	Park2	parkin	NM_016694	down	0.01	ns
10475211	Cep27	centrosomal protein 27	NM_025475	down	0.01	ns
10463739	Taf5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor	NM_177342	up	0.01	ns
10560300	Fkrp	fukutin related protein	NM_173430	down	0.01	ns
10460085	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	NM_023149	down	0.01	ns
10522589	Srd5a3	steroid 5 alpha-reductase 3	NM_020611	down	0.01	ns
10422240	Slitrk1	SLIT and NTRK-like family, member 1	NM_199065	down	0.01	0.02
10429100	Lrrc6	leucine rich repeat containing 6 (testis)	NM_019457	down	0.01	ns
10433887	Pkp2	plakophilin 2	NM_026163	up	0.01	ns
10556266	Wee1	WEE 1 homolog (S. pombe)	NM_009516	up	0.01	ns
10549276	Bhlhb3	basic helix-loop-helix domain containing, class B3	NM_024469	down	0.01	ns
10381154	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase	NM_009923	down	0.01	ns
10448023	Tcte3	t-complex-associated testis expressed 3	NM_011560	down	0.01	ns
10531195	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081401	down	0.01	0.02
10503363	Rbm12b	RNA binding motif protein 12B	NM_028226	up	0.01	ns
10393387	Jmjd6	jumonji domain containing 6	NM_033398	up	0.01	0.005
10527801	Brca2	breast cancer 2	"NM_001081
001"	down	0.01	ns
10578253	Sgcz	sarcoglycan zeta	NM_145841	down	0.01	ns
10541034	Anubl1	AN1, ubiquitin-like, homolog (Xenopus laevis)	"NM_001081
317"	down	0.01	ns
10345037	Paqr8	progestin and adipoQ receptor family member VIII	NM_028829	up	0.01	ns
10364385	Ilvbl	ilvB (bacterial acetolactate synthase)-like	NM_173751	down	0.01	ns
10546349	Xpc	xeroderma pigmentosum, complementation group C	NM_009531	down	0.01	ns
10431017	Ttll1	tubulin tyrosine ligase-like 1	NM_178869	down	0.01	ns
10506170	Efcab7	EF-hand calcium binding domain 7	NM_145549	down	0.01	ns
10366163	Slc6a15	"solute carrier family 6 (neurotransmitter transporter), member
15"	NM_175328	down	0.01	ns
10451110	Hsp90ab1	heat shock protein 90kDa alpha (cytosolic), class B member 1	NM_008302	up	0.01	0.04
10488033	Pak7	p21 (CDKN1A)-activated kinase 7	NM_172858	down	0.01	ns
10421817	Narg11	NMDA receptor regulated 1-like	NM_025832	up	0.01	ns
10502655	Cyr61	cysteine rich protein 61	NM_010516	up	0.01	ns
10502830	Nexn	nexilin	NM_199465	down	0.01	ns
10459421	Atp8b1	ATPase, class I, type 8B, member 1	"NM_001001
488"	down	0.01	ns
10393754	Actg1	actin, gamma, cytoplasmic 1	NM_009609	down	0.01	ns
10450640	Mrps18b	mitochondrial ribosomal protein S18B	NM_025878	down	0.01	ns
10426894	"ENSMUSG0000
0058057"	predicted gene, ENSMUSG00000058057	"NM_001081
471"	up	0.01	ns
10405576	Fbxl21	F-box and leucine-rich repeat protein 21	NM_178674	down	0.01	ns
10525923	Tmem132b	transmembrane protein 132B	XM_915709	down	0.01	ns
10596583	Dock3	dedicator of cyto-kinesis 3	NM_153413	down	0.01	0.04
10345357	Imp4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	NM_178601	up	0.01	ns
10539472	Nagk	N-acetylglucosamine kinase	NM_019542	down	0.01	ns
10490169	Ppp4r11	protein phosphatase 4, regulatory subunit 1-like	"ENSMUSTO
0000069669"	down	0.01	ns
10484227	Sestd1	SEC14 and spectrin domains 1	NM_175465	down	0.01	ns
10537657	Ephb6	Eph receptor B6	NM_007680	down	0.01	ns
10397912	9030205A07Rik	RIKEN CDNA 9030205A07 Gene	AB257853	up	0.01	ns
10531181	Adamts3	"a disintegrin-like and metallopeptidase (reprolysin type) with
thrombospondin type 1 motif, 3"	"NM_001081
401"	down	0.01	0.02
10595404	Fam46a	CDNA sequence BC023892	"ENSMUSTO
0000034802"	up	0.01	0.003
10368277	Rps12	ribosomal protein S12	AF357393	up	0.01	ns
10476136	Vps16	vacuolar protein sorting 16 (yeast)	NM_030559	down	0.01	ns
10517141	Hmgn2	high mobility group nucleosomal binding domain 2	NM_016957	down	0.01	ns
10548729	Mansc1	MANSC domain containing 1	NM_026345	down	0.01	ns
10531197	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081 401	down	0.01	ns
10400155	Nova1	neuro-oncological ventral antigen 1	ENSMUSTO 0000066043	down	0.01	0.02
10525921	Tmem132b	transmembrane protein 132B	XM_915709	down	0.01	ns
10533131	1300012G16Rik	RIKEN cDNA 1300012G16 gene	NM_023625	down	0.01	ns
10396926	Sfrs5	splicing factor, arginine/serine-rich 5 (SRp40, HRS)	NM_001079 695	down	0.01	0.01
10355266	Lancl1	LanC (bacterial lantibiotic synthetase component C)-like 1	NM_021295	down	0.01	ns
10538617	Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2	NM_133737	down	0.01	ns
10399299	A830093124Rik	RIKEN CDNA A830093124 gene	BC145648	down	0.01	ns
10434229	Cldn5	claudin 5	NM_013805	down	0.01	ns
10401684	Angel1	angel homolog 1 (Drosophila)	NM_144524	down	0.01	ns
10389245	Tada21	transcriptional adaptor 2 (ADA2 homolog, yeast)-like	NM_172562	down	0.01	ns
10444895	Flot1	flotillin 1	NM_008027	down	0.01	ns
10349809	Rbbp5	retinoblastoma binding protein 5	NM_172517	up	0.01	ns
10444008	Zfp414	zinc finger protein 414	NM_026712	down	0.01	ns
10541968	Ano2	anoctamin 2	NM_153589	down	0.01	0.01
10381683	Acbd4	acyl-Coenzyme A binding domain containing 4	NM_025988	down	0.01	ns
10440926	Dnajc28	DnaJ (Hsp40) homolog, subfamily C, member 28	NM_001099 738	up	0.01	ns
10531189	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081 401	down	0.01	ns
10358637	Hmcn1	hemicentin 1	NM_001024 720	down	0.01	ns
10567316	Tmc7	transmembrane channel-like gene family 7	NM_172476	up	0.01	ns
10396694	Churc1	churchill domain containing 1	NM_206534	down	0.01	ns
10565456	Prss23	protease, serine, 23	NM_029614	up	0.01	ns
10390780	Krt222	keratin 222	BC079890	down	0.01	ns
10560434	Qpctl	glutaminyl-peptide cyclotransferase-like	NM_026111	down	0.01	ns
10593421	1110032A03Rik	RIKEN CDNA 1110032A03 gene	CT010205	down	0.01	ns
10499839	Snapin	SNAP-associated protein	NM_133854	down	0.01	ns
10575578	4930402E16Rik	RIKEN cDNA 4930402E16 gene	NM_198308	down	0.01	ns
10446656	Lpin2	lipin 2	NM_022882	up	0.01	ns
10403511	Heatr1	HEAT repeat containing 1	NM_144835	up	0.01	ns
10516064	Mfsd2	major facilitator superfamily domain containing 2	NM_029662	up	0.01	ns
10511416	Tox	thymocyte selection-associated high mobility group box	NM_145711	down	0.01	ns
10455104	Pcdhb15	protocadherin beta 15	NM_053140	down	0.01	ns
10592891	Phldb1	pleckstrin homology-like domain, family B, member 1	NM_153537	down	0.01	ns
10450579	Ddr1	discoidin domain receptor family, member 1	NM_007584	down	0.01	ns
10383436	Aspscr1	alveolar soft part sarcoma chromosome region, candidate 1	NM_026877	down	0.01	ns
10390458	Pcgf2	polycomb group ring finger 2 (human)	NM_009545	down	0.01	ns
10396030	Fancm	Fanconi anemia, complementation group M	NM_178912	down	0.01	ns
10545658	Wdr54	WD repeat domain 54	NM_023790	down	0.01	ns
10423825	Fzd6	frizzled homolog 6 (Drosophila)	NM_008056	down	0.01	ns
10539592	Smyd5	SET and MYND domain containing 5	NM_144918	down	0.01	ns
10497548	Fndc3b	fibronectin type III domain containing 3B	NM_173182	up	0.01	ns
10495993	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	NM_130450	up	0.01	ns
10552075	Lgi4	leucine-rich repeat LGI family, member 4	NM_144556	down	0.01	ns
10544538	---	pseudogene chromosome:NCBIM37:6:47753957: 47754114:-1 gene:ENSMUSG00000045359	ENSMUSTO0000052129	up	0.01	ns
10506424	Actg1	actin, gamma, cytoplasmic 1	NM_009609	down	0.01	ns
10603087	Pir	pirin	NM_027153	down	0.01	ns
10352125	ENSMUSG00000055831	predicted gene, ENSMUSG00000055831	ENSMUSTO0000069568	up	0.01	ns
10509246	Luzp1	leucine zipper protein 1	NM_024452	up	0.01	0.04
10565057	Wdr73	WD repeat domain 73	ENSMUSTO0000026816	down	0.01	ns
10439249	Parp14	poly (ADP-ribose) polymerase family, member 14	NM_001039530	up	0.01	ns
10471062	Mettl11a	methyltransferase like 11A	ENSMUSTO0000041830	down	0.01	ns
10374464	Spred2	sprouty-related, EVH1 domain containing 2	BC040462	up	0.01	ns
10364093	Derl3	Der1-like domain family, member 3	NM_024440	up	0.01	ns
10606475	Hdx	highly divergent homeobox	NM_001080549	down	0.01	ns
10478196	Top1	topoisomerase (DNA) I	NM_009408	up	0.01	ns
10431697	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	NM_011994	down	0.01	ns
10523277	9330159N05Rik	RIKEN CDNA 9330159N05 gene	AK034152	up	0.01	0.02
10410959	Atg10	autophagy-related 10 (yeast)	NM_025770	down	0.01	ns
10493770	Ilf2	interleukin enhancer binding factor 2	NM_026374	down	0.01	ns
10567591	---	Genscan chromosome:NCBIM37:7:128791698: 128850767:-1	GENSCANO0000018737	up	0.01	0.02
10432411	Mcrs1	microspherule protein 1	NM_016766	down	0.01	ns
10377938	Eno3	enolase 3, beta muscle	NM_007933	down	0.01	ns
10357888	Ppfia4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	AK173053	down	0.01	ns
10401673	Tgfb3	transforming growth factor, beta 3	NM_009368	up	0.01	0.03
10472621	Ubr3	ubiquitin protein ligase E3 component n-recognin 3	NM_001081548	down	0.01	0.009
10593499	AI593442	expressed sequence AI593442	NM_178906	down	0.01	0.04
10604375	Apln	apelin	NM_013912	up	0.01	ns
10375704	3010026O09Rik	RIKEN cDNA 3010026O09 gene	BC028428	down	0.01	ns
10504504	Grhpr	glyoxylate reductase/hydroxypyruvate reductase	NM_080289	down	0.01	ns
10366052	Kitl	kit ligand	NM_013598	up	0.01	0.05
10587604	Rwdd2a	RWD domain containing 2A	NM_027100	down	0.01	ns
10384423	Cobl	cordon-bleu	NM_172496	up	0.01	ns
10408870	Tbc1d7	TBC1 domain family, member 7	NM_025935	down	0.01	ns
10511099	A530082C11Rik	RIKEN cDNA A530082C11 gene	NM_177186	up	0.01	ns
10434446	Ece2	endothelin converting enzyme 2	NM_139293	down	0.01	ns
10592303	Robo3	roundabout homolog 3 (Drosophila)	AF060570	up	0.01	ns
10555777	---	Genscan chromosome:NCBIM37:7:110335117: 110384869:1	GENSCANO0000023102	up	0.01	ns
10381395	Rundc1	RUN domain containing 1	NM_172566	up	0.01	ns
10492671	Ppid	peptidylprolyl isomerase D (cyclophilin D)	NM_026352	up	0.01	ns
10538658	Herc3	hect domain and RLD 3	NM_028705	down	0.01	ns
10559312	Dhcr7	7-dehydrocholesterol reductase	NM_007856	down	0.01	ns
10558049	Ppapdc1a	phosphatidic acid phosphatase type 2 domain containing 1A	NM_001080963	up	0.01	ns
10424188	Mtbp	Mdm2, transformed 3T3 cell double minute p53 binding protein	NM_134092	down	0.01	ns
10358677	1200016B10Rik	RIKEN cDNA 1200016B10 gene	BC060204	up	0.01	ns
10499652	4632404H12Rik	RIKEN cDNA 4632404H12 gene	ENSMUSTO0000038450	down	0.01	ns
10379013	Flot2	flotillin 2	NM_008028	down	0.01	ns
10493235	Paqr6	progestin and adipoQ receptor family member VI	NM_198410	down	0.01	ns
10572739	ENSMUSG00000060719	predicted gene, ENSMUSG00000060719	AK032580	up	0.01	ns
10407072	Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	NM_029001	down	0.01	ns
10592140	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	NM_013932	down	0.01	ns
10481349	Ntng2	netrin G2	NM_133501	down	0.01	ns
10360589	Ahctf1	AT hook containing transcription factor 1	NM_026375	up	0.01	ns
10599849	---	Genscan chromosome:NCBIM37:X:58500749: 58545291:1	GENSCANO0000033180	down	0.02	ns
10518132	Prdm2	PR domain containing 2, with ZNF domain	NM_001081355	up	0.02	ns
10578193	Thex1	three prime histone mRNA exonuclease 1	NM_026067	up	0.02	ns
10601551	LOC100039300	similar to enhancer of yellow 2 homolog (Drosophila)	ENSMUSTO0000055309	down	0.02	0.04
10441489	Gtf2h5	general transcription factor IIH, polypeptide 5	NM_181392	down	0.02	ns
10469425	Arl5b	ADP-ribosylation factor-like 5B	NM_029466	up	0.02	ns
10536541	St7	Suppression of tumorigenicity 7	NM_022332	up	0.02	ns
10526614	Actl6b	actin-like 6B	NM_031404	down	0.02	ns
10575184	Wwp2	WW domain containing E3 ubiquitin protein ligase 2	NM_025830	down	0.02	ns
10551981	U2af114	U2 small nuclear RNA auxiliary factor 1-like 4	NM 170760	up	0.02	ns
10491331	Pik3ca	phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	NM_008839	up	0.02	ns
10459844	Ccdc5	coiled-coil domain containing 5	NM_146089	down	0.02	ns
10442057	Riok2	RIO kinase 2 (yeast)	NM_025934	down	0.02	ns
10581378	Psmb10	proteasome (prosome, macropain) subunit, beta type 10	NM 013640	down	0.02	ns
10417579	4930452B06Rik	RIKEN CDNA 4930452B06 gene	BC064468	down	0.02	ns
10445239	EG546797	predicted gene, EG546797	ENSMUSTO 0000071458	down	0.02	ns
10541098	Zfp239	zinc finger protein 239	NM_001001 792	down	0.02	ns
10545130	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	NM 007836	up	0.02	0.05
10437210	Bace2	beta-site APP-cleaving enzyme 2	NM_019517	down	0.02	0.01
10544837	1200009O22Rik	RIKEN cDNA 1200009O22 gene	BC043099	down	0.02	ns
10364950	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	NM_008655	up	0.02	0.005
10444505	Rdbp	RD RNA-binding protein	NM_001045 864	down	0.02	ns
10441038	Hlcs	holocarboxylase synthetase (biotin- [propriony-Coenzyme A- carboxylase (ATP-hydrolysing)] ligase)	NM_139145	down	0.02	ns
10495854	Prss12	protease, serine, 12 neurotrypsin (motopsin)	NM 008939	down	0.02	ns
10560826	Zfp109	zinc finger protein 109	NM_020262	up	0.02	ns
10460706	Syvn1	synovial apoptosis inhibitor 1, synoviolin	NM_028769	up	0.02	0.02
10446013	Mpnd	MPN domain containing	NM_026530	down	0.02	ns
10539220	AW146020	expressed sequence AW146020	NM 177884	down	0.02	ns
10471171	Fubp3	far upstream element (FUSE) binding protein 3	NM_001033 389	down	0.02	ns
10481272	1700007K13Rik	RIKEN cDNA 1700007K13 gene	BC099566	up	0.02	0.03
10549473	Caprin2	caprin family member 2	NM_181541	down	0.02	ns
10462091	Klf9	Kruppel-like factor 9	NM_010638	up	0.02	ns
10423963	Eny2	enhancer of yellow 2 homolog (Drosophila)	NM 175009	down	0.02	0.02
10582403	Galns	galactosamine (N-acetyl)-6-sulfate sulfatase	NM_016722	down	0.02	ns
10401933	---	Mouse mammary tumor virus clone 66C env precursor and vSAG protein mRNA, complete cds.	AF043690	up	0.02	ns
10504759	---	Mouse mammary tumor virus clone 66C env precursor and vSAG protein mRNA, complete cds.	AF043690	up	0.02	ns
10387659	Nlgn2	neuroligin 2	NM_198862	down	0.02	ns
10417920	Usp54	ubiquitin specific peptidase 54	NM_030180	up	0.02	ns
10357381	Ysk4	Yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	XM_914055	up	0.02	ns
10573490	Hook2	hook homolog 2 (Drosophila)	NM_133255	down	0.02	ns
10380859	Crkrs	CDC2-related kinase, arginine/serine-rich	BC057057	down	0.02	ns
10415030	Oxa11	oxidase assembly 1-like	NM 026936	down	0.02	ns
10528145	Grm3	glutamate receptor, metabotropic 3	NM_181850	down	0.02	ns
10389627	Rad51c	Rad51 homolog c (S. cerevisiae)	NM_053269	up	0.02	ns
10581996	Cdyl2	chromodomain protein, Y chromosome-like 2	NM_029441	up	0.02	ns
10511865	Ptges3	prostaglandin E synthase 3 (cytosolic)	AF153479	up	0.02	ns
10480808	Gm996	gene model 996, (NCBI)	NM_001005 424	down	0.02	ns
10483604	Slc25a12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	NM_172436	down	0.02	ns
10354677	Ankrd44	ankyrin repeat domain 44	NM_001081 433	down	0.02	ns
10368380	L3mbtl3	l(3)mbt-like 3 (Drosophila)	NM_172787	up	0.02	ns
10469609	OTTMUSG00000011664	predicted gene, OTTMUSG00000011664	ENSMUST0 0000100373	down	0.02	0.02
10376929	1810036124Rik	RIKEN cDNA 1810036124 gene	BC115504	up	0.02	ns
10578138	Dctn6	dynactin 6	NM_011722	down	0.02	ns
10588509	Pcbp4	poly(rC) binding protein 4	NM_021567	down	0.02	ns
10529953	EG625026	predicted gene, EG625026	AK036806	down	0.02	0.03
10436600	---	MI0000146 Mus musculus miR-99a stem-loop	---	down	0.02	ns
10451167	Tmem63b	transmembrane protein 63b	NM_198167	down	0.02	ns
10458834	Atg12	autophagy-related 12 (yeast)	NM_026217	up	0.02	ns
10549921	Vmn2r43	vomeronasal 2, receptor 43	NM_198961	up	0.02	ns
10363667	ENSMUSG00000062298	predicted gene, ENSMUSG00000062298	ENSMUST0 0000074437	down	0.02	ns
10539606	Cct7	chaperonin containing Tcp1, subunit 7 (eta)	NM_007638	up	0.02	ns
10423505	Cmbl	carboxymethylenebutenolidase-like (Pseudomonas)	NM_181588	down	0.02	ns
10484987	Nr1h3	nuclear receptor subfamily 1, group H, member 3	NM_013839	up	0.02	ns
10392560	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9	NM_147220	up	0.02	ns
10381708	Fmnl1	formin-like 1	NM_019679	up	0.02	0.0004
10570634	4930467E23Rik	RIKEN CDNA 4930467E23 gene // predicted gene, EG665756	ENSMUST0 0000084046	down	0.02	0.05
10520638	0610007C21Rik	RIKEN cDNA 0610007C21 gene	NM_027855	down	0.02	ns
10507238	Lrrc41	leucine rich repeat containing 41	NM_153521	down	0.02	ns
10462281	Vldlr	very low density lipoprotein receptor	NM_013703	down	0.02	ns
10589889	Glb1	galactosidase, beta 1	NM_009752	down	0.02	ns
10522134	Lias	lipoic acid synthetase	NM_024471	down	0.02	0.03
10433389	Alg1	asparagine-linked glycosylation 1 homolog (yeast, beta-1,4- mannosyltransferase)	NM_145362	down	0.02	ns
10353549	4921533L14Rik	RIKEN CDNA 4921533L14 gene	BC070446	down	0.02	0.04
10511156	Ccnl2	cyclin L2	NM_207678	up	0.02	0.04
10373756	Pla2g3	phospholipase A2, group III	NM_172791	up	0.02	ns
10472022	Lypd6b	LY6/PLAUR domain containing 6B	BC126943	down	0.02	ns
10473022	Plp2	proteolipid protein 2	NM_019755	down	0.02	ns
10545827	Rab11fip5	RAB11 family interacting protein 5 (class I)	NM_001003955	down	0.02	ns
10522802	Ythdc1	YTH domain containing 1	NM_177680	up	0.02	ns
10533993	Slc15a4	solute carrier family 15, member 4	NM_133895	up	0.02	ns
10359034	Qsox1	quiescin Q6 sulfhydryl oxidase 1	NM_001024945	down	0.02	ns
10508829	Map3k6	mitogen-activated protein kinase kinase kinase 6	NM_016693	up	0.02	ns
10566516	1500003022Rik	RIKEN cDNA 1500003022 gene	BC022923	up	0.02	ns
10439762	Ahcy	S-adenosylhomocysteine hydrolase	ENSMUST00000054607	down	0.02	ns
10438626	Etv5	ets variant gene 5	NM_023794	up	0.02	0.01
10353878	Ankrd23	ankyrin repeat domain 23	NM_153502	up	0.02	ns
10542319	Apold1	apolipoprotein L domain containing 1	NM_001109914	up	0.02	ns
10532896	2610524H06Rik	RIKEN cDNA 2610524H06 gene	NM_181075	down	0.02	ns
10583485	A230050P20Rik	RIKEN cDNA A230050P20 gene	NM_175687	down	0.02	ns
10599693	6330419J24Rik	RIKEN CDNA 6330419J24 gene	BC052359	down	0.02	ns
10483025	Rbms1	RNA binding motif, single stranded interacting protein 1	NM_020296	down	0.02	ns
10445544	Crip3	cysteine-rich protein 3	NM_053250	up	0.02	ns
10487040	Fbn1	fibrillin 1	NM_007993	down	0.02	ns
10455094	Pcdhb13	protocadherin beta 13	NM_053138	down	0.02	ns
10424060	A930017M01Rik	RIKEN cDNA A930017M01 gene	AK080719	down	0.02	ns
10462333	Cdc3711	cell division cycle 37 homolog (S. cerevisiae)-like 1	NM_025950	up	0.02	ns
10512165	Nol6	nucleolar protein family 6 (RNA-associated)	NM_139236	down	0.02	ns
10489784	BC067047	cDNA sequence BC067047	NM_177782	up	0.02	ns
10457886	ENSMUSG00000054990	predicted gene, ENSMUSG00000054990	ENSMUST00000068352	up	0.02	ns
10431558	2010001J22Rik	RIKEN CDNA 2010001J22 gene	BC087962	down	0.02	ns
